主力净流入,主力流入,主力流出,超大买单成交量,超大买单成交额,超大卖单成交量,超大卖单成交额,大买单成交量,大买单成交额,大卖单成交量,大卖单成交额,中买单成交量,中买单成交额,中卖单成交量,中卖单成交额,小买单成交量,小买单成交额,小卖单成交量,小卖单成交额,时间范围
113128.0,737752.0,624624.0,0.0,0.0,0.0,0.0,79800.0,737752.0,67600.0,624624.0,103800.0,959912.0,258283.0,2385814.8899999997,125820.0,1163463.8,99043.0,914952.89,11:20
-4738232.96,816855.0,5555087.96,0.0,0.0,506752.0,4675008.96,88500.0,816855.0,95400.0,880079.0,98500.0,909697.0,241672.0,2230599.08,142448.0,1315418.52,193228.0,1782894.44,13:00
-10969807.799999999,0.0,10969807.799999999,0.0,0.0,943060.0,8688828.2,0.0,0.0,247700.0,2280979.6,148640.0,1370729.4000000001,501900.0,4622465.0,201140.0,1854769.4,379300.0,3493611.4,13:10
-2321611.0,1259452.0,3581063.0,0.0,0.0,200000.0,1842612.0,136600.0,1259452.0,188700.0,1738451.0,214500.0,1977600.0,332735.0,3064706.35,234165.0,2157920.65,220565.0,2031256.0,13:20
-7241504.859999999,3522491.18,10763996.04,150258.0,1383876.1800000002,702000.0,6459157.42,231900.0,2138615.0,467422.0,4304838.62,235700.0,2171151.0,392177.0,3612019.4,253856.0,2338795.76,208622.0,1921274.62,13:30
16064.0,878696.0,862632.0,0.0,0.0,0.0,0.0,95200.0,878696.0,93500.0,862632.0,160200.0,1478646.0,198000.0,1826310.0,126700.0,1169593.0,237800.0,2193120.0,13:40
-15677034.0,1591488.0000000002,17268522.0,172800.0,1591488.0000000002,1258000.0,11574213.0,0.0,0.0,618600.0,5694309.0,176300.0,1625588.0,576900.0,5311614.04,175640.0,1618608.0,325460.0,2997141.56,13:50
-2458534.5600000005,3880134.0,6338668.5600000005,119900.0,1099483.0,296040.0,2717647.2,302900.0,2780651.0,394696.0,3621021.36,363000.0,3338304.0,841900.0,7730557.6,393700.0,3619547.0,353020.0,3241774.6,14:00
904422.0,1408209.0,503787.0,0.0,0.0,0.0,0.0,152900.0,1408209.0,54700.0,503787.0,146900.0,1352960.0,78300.0,720750.0,233700.0,2152555.0,140500.0,1292864.0,14:10
-648953.0,324544.0,973497.0,0.0,0.0,0.0,0.0,35200.0,324544.0,105700.0,973497.0,295600.0,2725681.0,139300.0,1282865.0,146000.0,1346123.0,106391.0,979834.51,14:20
738018.0,1236820.0,498802.0,0.0,0.0,0.0,0.0,134000.0,1236820.0,54100.0,498802.0,146300.0,1351456.0,194200.0,1791822.0,131900.0,1217997.0,198400.0,1830208.0,14:30
-5193262.800000001,3634132.5999999996,8827395.4,0.0,0.0,659900.0,6071481.0,394480.0,3634132.5999999996,299551.0,2755914.4,229340.0,2112469.29,336669.0,3100986.6900000004,135800.0,1250533.0899999999,279669.0,2575532.0,14:40
-3589652.0,810520.0,4400172.0,0.0,0.0,198000.0,1819620.0,88100.0,810520.0,280800.0,2580552.0,121400.0,1116754.0,437700.0,4022463.0,232300.0,2137078.0,288400.0,2650396.0,14:50
-253110.97999999998,433768.0,686878.98,0.0,0.0,0.0,0.0,47200.0,433768.0,74742.0,686878.98,85300.0,783907.0,58117.0,534095.23,152565.0,1402072.35,37500.0,344625.00000000006,15:00
