id,symbol,frequency,open,high,low,close,volume,amount,pre_close,position,bob,eob
0,SZSE.000100,60s,4.28,4.28,4.21,4.23,8209720,34847811.7,0,0,2024-10-15 09:30:00+08:00,2024-10-15 09:31:00+08:00
1,SZSE.000100,60s,4.23,4.25,4.23,4.24,3394210,14411532.1,0,0,2024-10-15 09:31:00+08:00,2024-10-15 09:32:00+08:00
2,SZSE.000100,60s,4.24,4.26,4.24,4.24,2728610,11583739.4,0,0,2024-10-15 09:32:00+08:00,2024-10-15 09:33:00+08:00
3,SZSE.000100,60s,4.24,4.26,4.24,4.25,2177970,9263913.5,0,0,2024-10-15 09:33:00+08:00,2024-10-15 09:34:00+08:00
4,SZSE.000100,60s,4.27,4.27,4.25,4.26,2990280,12742908.4,0,0,2024-10-15 09:34:00+08:00,2024-10-15 09:35:00+08:00
5,SZSE.000100,60s,4.27,4.27,4.23,4.25,3951480,16778312.4,0,0,2024-10-15 09:35:00+08:00,2024-10-15 09:36:00+08:00
6,SZSE.000100,60s,4.25,4.26,4.24,4.25,3431000,14573962.9,0,0,2024-10-15 09:36:00+08:00,2024-10-15 09:37:00+08:00
7,SZSE.000100,60s,4.24,4.26,4.24,4.25,3247991,13795088.65,0,0,2024-10-15 09:37:00+08:00,2024-10-15 09:38:00+08:00
8,SZSE.000100,60s,4.26,4.28,4.26,4.28,2588540,11041785.6,0,0,2024-10-15 09:38:00+08:00,2024-10-15 09:39:00+08:00
9,SZSE.000100,60s,4.27,4.28,4.26,4.27,2460880,10502976.8,0,0,2024-10-15 09:39:00+08:00,2024-10-15 09:40:00+08:00
10,SZSE.000100,60s,4.28,4.28,4.27,4.28,525910,2247109.7,0,0,2024-10-15 09:40:00+08:00,2024-10-15 09:41:00+08:00
11,SZSE.000100,60s,4.27,4.27,4.26,4.27,897190,3829991.3,0,0,2024-10-15 09:41:00+08:00,2024-10-15 09:42:00+08:00
12,SZSE.000100,60s,4.27,4.28,4.26,4.27,1421500,6069346,0,0,2024-10-15 09:42:00+08:00,2024-10-15 09:43:00+08:00
13,SZSE.000100,60s,4.28,4.28,4.27,4.27,1861751,7952103.26,0,0,2024-10-15 09:43:00+08:00,2024-10-15 09:44:00+08:00
14,SZSE.000100,60s,4.27,4.28,4.27,4.27,1291200,5518229,0,0,2024-10-15 09:44:00+08:00,2024-10-15 09:45:00+08:00
15,SZSE.000100,60s,4.27,4.28,4.27,4.27,531340,2271485.8,0,0,2024-10-15 09:45:00+08:00,2024-10-15 09:46:00+08:00
16,SZSE.000100,60s,4.28,4.28,4.27,4.28,1276440,5460407.8,0,0,2024-10-15 09:46:00+08:00,2024-10-15 09:47:00+08:00
17,SZSE.000100,60s,4.28,4.28,4.27,4.27,591300,2528382,0,0,2024-10-15 09:47:00+08:00,2024-10-15 09:48:00+08:00
18,SZSE.000100,60s,4.28,4.28,4.26,4.26,3084420,13156470.4,0,0,2024-10-15 09:48:00+08:00,2024-10-15 09:49:00+08:00
19,SZSE.000100,60s,4.26,4.28,4.26,4.27,2460020,10497452.1,0,0,2024-10-15 09:49:00+08:00,2024-10-15 09:50:00+08:00
20,SZSE.000100,60s,4.27,4.28,4.27,4.27,545500,2330355,0,0,2024-10-15 09:50:00+08:00,2024-10-15 09:51:00+08:00
21,SZSE.000100,60s,4.28,4.29,4.27,4.29,2983990,12774014.2,0,0,2024-10-15 09:51:00+08:00,2024-10-15 09:52:00+08:00
22,SZSE.000100,60s,4.29,4.29,4.27,4.28,961600,4116405,0,0,2024-10-15 09:52:00+08:00,2024-10-15 09:53:00+08:00
23,SZSE.000100,60s,4.29,4.29,4.27,4.27,517200,2212298,0,0,2024-10-15 09:53:00+08:00,2024-10-15 09:54:00+08:00
24,SZSE.000100,60s,4.28,4.28,4.27,4.28,424640,1815562.8,0,0,2024-10-15 09:54:00+08:00,2024-10-15 09:55:00+08:00
25,SZSE.000100,60s,4.27,4.27,4.25,4.25,3177560,13547722.2,0,0,2024-10-15 09:55:00+08:00,2024-10-15 09:56:00+08:00
26,SZSE.000100,60s,4.26,4.26,4.25,4.25,337100,1434042,0,0,2024-10-15 09:56:00+08:00,2024-10-15 09:57:00+08:00
27,SZSE.000100,60s,4.25,4.26,4.25,4.25,289900,1233032,0,0,2024-10-15 09:57:00+08:00,2024-10-15 09:58:00+08:00
28,SZSE.000100,60s,4.25,4.26,4.25,4.26,400690,1704352.5,0,0,2024-10-15 09:58:00+08:00,2024-10-15 09:59:00+08:00
29,SZSE.000100,60s,4.25,4.28,4.25,4.28,3076830,13117383.8,0,0,2024-10-15 09:59:00+08:00,2024-10-15 10:00:00+08:00
30,SZSE.000100,60s,4.28,4.28,4.27,4.27,465710,1989645.7,0,0,2024-10-15 10:00:00+08:00,2024-10-15 10:01:00+08:00
31,SZSE.000100,60s,4.27,4.28,4.27,4.27,541800,2316725,0,0,2024-10-15 10:01:00+08:00,2024-10-15 10:02:00+08:00
32,SZSE.000100,60s,4.28,4.28,4.27,4.27,1112360,4756383.2,0,0,2024-10-15 10:02:00+08:00,2024-10-15 10:03:00+08:00
33,SZSE.000100,60s,4.27,4.29,4.27,4.29,1830350,7838643,0,0,2024-10-15 10:03:00+08:00,2024-10-15 10:04:00+08:00
34,SZSE.000100,60s,4.29,4.29,4.28,4.29,481120,2061507.6,0,0,2024-10-15 10:04:00+08:00,2024-10-15 10:05:00+08:00
35,SZSE.000100,60s,4.29,4.29,4.28,4.29,818270,3507358.6,0,0,2024-10-15 10:05:00+08:00,2024-10-15 10:06:00+08:00
36,SZSE.000100,60s,4.29,4.29,4.27,4.27,2224120,9518169.3,0,0,2024-10-15 10:06:00+08:00,2024-10-15 10:07:00+08:00
37,SZSE.000100,60s,4.27,4.29,4.27,4.28,1894510,8107150.1,0,0,2024-10-15 10:07:00+08:00,2024-10-15 10:08:00+08:00
38,SZSE.000100,60s,4.28,4.28,4.27,4.28,569190,2432842.3,0,0,2024-10-15 10:08:00+08:00,2024-10-15 10:09:00+08:00
39,SZSE.000100,60s,4.28,4.28,4.26,4.27,1903670,8120798.6,0,0,2024-10-15 10:09:00+08:00,2024-10-15 10:10:00+08:00
40,SZSE.000100,60s,4.27,4.27,4.25,4.26,1752570,7461220.2,0,0,2024-10-15 10:10:00+08:00,2024-10-15 10:11:00+08:00
41,SZSE.000100,60s,4.26,4.27,4.25,4.26,744770,3171764.2,0,0,2024-10-15 10:11:00+08:00,2024-10-15 10:12:00+08:00
42,SZSE.000100,60s,4.27,4.27,4.26,4.27,347940,1484486.4,0,0,2024-10-15 10:12:00+08:00,2024-10-15 10:13:00+08:00
43,SZSE.000100,60s,4.26,4.27,4.26,4.27,408420,1740821.2,0,0,2024-10-15 10:13:00+08:00,2024-10-15 10:14:00+08:00
44,SZSE.000100,60s,4.26,4.27,4.26,4.26,467980,1994651.8,0,0,2024-10-15 10:14:00+08:00,2024-10-15 10:15:00+08:00
45,SZSE.000100,60s,4.27,4.28,4.26,4.27,1888410,8063514.7,0,0,2024-10-15 10:15:00+08:00,2024-10-15 10:16:00+08:00
46,SZSE.000100,60s,4.28,4.28,4.27,4.28,298950,1278022.5,0,0,2024-10-15 10:16:00+08:00,2024-10-15 10:17:00+08:00
47,SZSE.000100,60s,4.28,4.28,4.26,4.26,1526650,6517492.4,0,0,2024-10-15 10:17:00+08:00,2024-10-15 10:18:00+08:00
48,SZSE.000100,60s,4.27,4.27,4.26,4.27,1115560,4762529.6,0,0,2024-10-15 10:18:00+08:00,2024-10-15 10:19:00+08:00
49,SZSE.000100,60s,4.27,4.27,4.26,4.27,418730,1787424.8,0,0,2024-10-15 10:19:00+08:00,2024-10-15 10:20:00+08:00
50,SZSE.000100,60s,4.27,4.28,4.26,4.28,863330,3686462.7,0,0,2024-10-15 10:20:00+08:00,2024-10-15 10:21:00+08:00
51,SZSE.000100,60s,4.27,4.28,4.27,4.27,399820,1709457.4,0,0,2024-10-15 10:21:00+08:00,2024-10-15 10:22:00+08:00
52,SZSE.000100,60s,4.27,4.28,4.27,4.27,514780,2202489.6,0,0,2024-10-15 10:22:00+08:00,2024-10-15 10:23:00+08:00
53,SZSE.000100,60s,4.28,4.28,4.27,4.27,1391810,5947141.7,0,0,2024-10-15 10:23:00+08:00,2024-10-15 10:24:00+08:00
54,SZSE.000100,60s,4.28,4.28,4.27,4.28,837090,3576794.3,0,0,2024-10-15 10:24:00+08:00,2024-10-15 10:25:00+08:00
55,SZSE.000100,60s,4.28,4.28,4.27,4.27,2107150,9000081.5,0,0,2024-10-15 10:25:00+08:00,2024-10-15 10:26:00+08:00
56,SZSE.000100,60s,4.28,4.28,4.27,4.28,795840,3400005.9,0,0,2024-10-15 10:26:00+08:00,2024-10-15 10:27:00+08:00
57,SZSE.000100,60s,4.28,4.28,4.26,4.26,915400,3908254,0,0,2024-10-15 10:27:00+08:00,2024-10-15 10:28:00+08:00
58,SZSE.000100,60s,4.26,4.27,4.26,4.26,875420,3732323.2,0,0,2024-10-15 10:28:00+08:00,2024-10-15 10:29:00+08:00
59,SZSE.000100,60s,4.27,4.27,4.25,4.25,3364910,14329294.9,0,0,2024-10-15 10:29:00+08:00,2024-10-15 10:30:00+08:00
60,SZSE.000100,60s,4.26,4.26,4.25,4.25,272200,1157806,0,0,2024-10-15 10:30:00+08:00,2024-10-15 10:31:00+08:00
61,SZSE.000100,60s,4.26,4.26,4.25,4.25,523990,2229514.5,0,0,2024-10-15 10:31:00+08:00,2024-10-15 10:32:00+08:00
62,SZSE.000100,60s,4.26,4.26,4.24,4.24,3318100,14102530,0,0,2024-10-15 10:32:00+08:00,2024-10-15 10:33:00+08:00
63,SZSE.000100,60s,4.25,4.25,4.24,4.24,594200,2524183,0,0,2024-10-15 10:33:00+08:00,2024-10-15 10:34:00+08:00
64,SZSE.000100,60s,4.25,4.25,4.24,4.25,394950,1676845,0,0,2024-10-15 10:34:00+08:00,2024-10-15 10:35:00+08:00
65,SZSE.000100,60s,4.25,4.25,4.24,4.25,451110,1914063.4,0,0,2024-10-15 10:35:00+08:00,2024-10-15 10:36:00+08:00
66,SZSE.000100,60s,4.25,4.25,4.24,4.25,244840,1039032.6,0,0,2024-10-15 10:36:00+08:00,2024-10-15 10:37:00+08:00
67,SZSE.000100,60s,4.25,4.26,4.24,4.25,3006986,12779382.5,0,0,2024-10-15 10:37:00+08:00,2024-10-15 10:38:00+08:00
68,SZSE.000100,60s,4.25,4.26,4.25,4.25,715010,3039194.5,0,0,2024-10-15 10:38:00+08:00,2024-10-15 10:39:00+08:00
69,SZSE.000100,60s,4.25,4.25,4.24,4.25,561764,2383961.26,0,0,2024-10-15 10:39:00+08:00,2024-10-15 10:40:00+08:00
70,SZSE.000100,60s,4.24,4.25,4.24,4.24,1211100,5136886,0,0,2024-10-15 10:40:00+08:00,2024-10-15 10:41:00+08:00
71,SZSE.000100,60s,4.24,4.24,4.23,4.23,2320226,9835262.24,0,0,2024-10-15 10:41:00+08:00,2024-10-15 10:42:00+08:00
72,SZSE.000100,60s,4.23,4.24,4.23,4.23,530700,2246167,0,0,2024-10-15 10:42:00+08:00,2024-10-15 10:43:00+08:00
73,SZSE.000100,60s,4.24,4.24,4.23,4.23,1524720,6450786.6,0,0,2024-10-15 10:43:00+08:00,2024-10-15 10:44:00+08:00
74,SZSE.000100,60s,4.23,4.24,4.23,4.23,382540,1619306.2,0,0,2024-10-15 10:44:00+08:00,2024-10-15 10:45:00+08:00
75,SZSE.000100,60s,4.23,4.24,4.23,4.23,560300,2371667,0,0,2024-10-15 10:45:00+08:00,2024-10-15 10:46:00+08:00
76,SZSE.000100,60s,4.23,4.23,4.22,4.22,1972240,8339356.2,0,0,2024-10-15 10:46:00+08:00,2024-10-15 10:47:00+08:00
